Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Admission_grade,Curricular_units_2nd_sem_evaluations,Age_at_enrollment,Previous_qualification_grade,Curricular_units_1st_sem_evaluations,Tuition_fees_up_to_date,Status
6,13.285714285714286,6,11.5,133.4,7,21,130.0,6,Yes,Graduate
6,12.833333333333334,5,12.333333333333334,126.1,7,19,139.0,7,Yes,Graduate
6,14.166666666666666,6,13.666666666666666,113.5,6,24,130.0,6,Yes,Graduate
6,11.833333333333334,6,11.833333333333334,121.3,10,19,139.0,10,Yes,Enrolled
3,11.0,4,14.0,121.8,12,20,127.0,11,Yes,Enrolled
5,15.8,5,14.714285714285714,159.3,5,19,167.0,7,Yes,Graduate
5,11.0,5,10.6,120.0,10,27,130.0,12,Yes,Dropout
8,13.595,7,13.044444444444444,129.1,10,18,130.0,9,Yes,Graduate
0,0.0,0,0.0,130.0,6,39,130.0,10,Yes,Dropout
10,12.9,5,13.0,155.3,13,27,129.0,9,Yes,Dropout
8,14.935,8,14.935,139.8,8,18,141.0,8,Yes,Graduate
0,0.0,0,0.0,115.2,0,18,125.0,0,Yes,Enrolled
7,12.221428571428572,6,13.133333333333333,114.9,12,18,125.0,8,Yes,Graduate
6,12.0,6,12.0,131.9,7,21,130.0,7,Yes,Graduate
0,0.0,0,0.0,126.0,0,19,133.0,0,Yes,Enrolled
1,10.0,5,11.4,130.2,8,19,127.0,6,Yes,Enrolled
0,0.0,0,0.0,120.9,6,24,116.0,6,Yes,Enrolled
5,11.0,5,11.9,126.0,10,29,133.1,10,Yes,Dropout
0,0.0,0,0.0,128.2,0,19,139.0,0,Yes,Graduate
6,12.428571428571429,6,12.571428571428571,130.0,7,23,130.0,8,Yes,Graduate
4,10.75,5,11.2,120.1,10,19,125.0,8,Yes,Dropout
5,10.8,6,12.0,100.0,8,26,160.0,7,Yes,Enrolled
0,0.0,0,0.0,134.0,5,18,148.0,9,Yes,Enrolled
8,13.75,7,11.975,130.8,8,24,150.0,8,Yes,Graduate
0,0.0,0,0.0,135.8,0,19,141.0,0,Yes,Dropout
1,12.0,3,11.666666666666666,111.7,12,18,118.0,12,Yes,Dropout
3,12.333333333333334,6,12.333333333333334,132.9,11,18,142.0,8,Yes,Graduate
3,10.857142857142858,3,10.333333333333334,115.5,11,18,120.0,8,Yes,Dropout
1,11.0,4,10.5,106.0,11,21,106.0,8,Yes,Dropout
6,13.333333333333334,6,13.666666666666666,120.3,6,19,121.0,6,Yes,Graduate
8,15.055555555555555,7,14.842857142857142,130.8,9,22,150.0,7,Yes,Graduate
6,11.666666666666666,6,12.0,117.0,6,33,120.0,8,Yes,Graduate
5,12.2,5,12.2,110.2,7,20,114.0,8,Yes,Dropout
0,0.0,0,0.0,155.7,0,35,140.0,1,Yes,Dropout
10,13.3,6,12.166666666666666,180.4,14,24,160.0,17,Yes,Dropout
3,11.333333333333334,5,12.0,125.5,8,18,120.0,6,Yes,Enrolled
5,11.0,6,11.0,110.0,11,33,130.0,7,Yes,Graduate
7,13.08,7,13.08,161.0,8,22,160.0,8,Yes,Graduate
5,11.6,4,10.5,100.0,7,25,120.0,7,Yes,Graduate
5,11.2,6,10.666666666666666,117.6,6,20,124.0,9,Yes,Graduate
5,13.8,4,14.0,128.7,5,23,143.0,6,Yes,Enrolled
0,0.0,2,10.0,112.2,9,18,115.0,9,Yes,Enrolled
0,0.0,0,0.0,100.8,7,24,133.1,18,Yes,Dropout
6,13.5,6,14.0,105.0,6,21,133.1,6,No,Graduate
0,0.0,2,12.0,100.0,6,26,133.1,7,Yes,Dropout
0,0.0,3,12.666666666666666,115.5,14,39,133.1,12,Yes,Dropout
6,12.333333333333334,8,11.875,114.0,7,44,133.1,11,Yes,Graduate
3,13.25,5,14.0,137.0,11,19,130.0,9,Yes,Enrolled
6,13.333333333333334,6,13.666666666666666,124.9,6,18,135.0,6,Yes,Graduate
8,14.47777777777778,7,13.75,120.3,9,18,132.0,7,Yes,Graduate
5,13.8,5,14.2,134.3,7,19,135.0,7,Yes,Enrolled
0,0.0,4,11.96,111.5,7,19,115.0,10,No,Dropout
5,13.4,8,12.875,128.8,14,21,130.0,12,Yes,Dropout
0,0.0,0,0.0,110.0,0,20,133.1,0,Yes,Graduate
0,0.0,0,0.0,113.5,0,36,130.0,0,Yes,Dropout
13,14.23076923076923,18,14.63157894736842,160.0,14,43,133.1,19,Yes,Graduate
0,0.0,0,0.0,117.4,0,19,123.0,0,Yes,Dropout
11,12.272727272727272,10,13.0,122.2,11,20,130.0,12,Yes,Graduate
0,0.0,0,0.0,118.2,0,19,122.0,0,Yes,Dropout
4,13.25,4,14.2,106.7,17,20,113.0,15,Yes,Dropout
5,12.3,6,13.266666666666666,108.2,10,20,111.0,9,Yes,Dropout
3,13.0,6,11.666666666666666,107.0,10,20,133.1,12,Yes,Enrolled
6,15.0,6,13.857142857142858,136.1,6,18,142.0,8,Yes,Graduate
3,11.0,3,13.0,115.3,11,18,123.0,9,Yes,Enrolled
5,12.8,5,13.4,139.8,5,19,131.0,6,Yes,Graduate
6,12.571428571428571,6,12.666666666666666,157.0,7,18,158.0,6,Yes,Graduate
6,12.516666666666666,6,12.516666666666666,131.0,7,18,122.0,7,Yes,Dropout
7,13.0,6,11.616666666666667,100.0,7,20,130.0,11,Yes,Enrolled
4,10.75,2,10.0,140.4,12,20,154.0,13,Yes,Enrolled
3,10.666666666666666,3,10.333333333333334,113.4,10,20,120.0,11,Yes,Enrolled
5,11.4,5,13.142857142857142,137.0,6,18,140.0,12,Yes,Graduate
5,14.0,5,12.6,121.8,5,18,127.0,5,Yes,Graduate
2,11.0,3,11.0,131.0,12,21,133.1,12,Yes,Dropout
4,11.25,5,10.8,118.6,9,19,120.0,8,Yes,Graduate
0,0.0,0,0.0,122.3,0,19,137.0,0,Yes,Dropout
5,14.2,5,12.8,127.9,5,19,131.0,5,Yes,Graduate
6,12.2,6,14.166666666666666,121.3,13,19,130.0,15,Yes,Graduate
0,0.0,5,12.1,117.1,0,19,122.0,12,Yes,Dropout
5,13.77777777777778,6,14.166666666666666,160.0,17,20,160.0,7,Yes,Graduate
5,13.4,5,12.8,145.3,7,18,146.0,8,Yes,Enrolled
6,13.666666666666666,6,13.0,122.6,6,18,131.0,7,Yes,Graduate
8,15.011111111111113,7,13.467142857142855,128.0,9,19,132.0,7,Yes,Graduate
7,13.742857142857144,7,13.2375,124.9,9,18,138.0,9,Yes,Dropout
6,13.0,6,12.333333333333334,123.7,6,18,130.0,6,Yes,Graduate
5,14.6,5,12.4,120.1,5,19,126.0,7,Yes,Graduate
0,0.0,5,14.0,131.7,7,19,148.0,8,Yes,Dropout
7,11.714285714285714,9,11.666666666666666,133.2,8,20,130.0,15,Yes,Graduate
4,12.5,5,12.0,109.3,9,19,117.0,7,No,Dropout
4,11.5,4,12.2,113.0,5,20,120.0,7,Yes,Graduate
6,14.833333333333334,6,14.833333333333334,157.9,6,18,153.0,6,Yes,Graduate
7,12.892857142857142,5,13.188,112.1,9,20,117.0,9,Yes,Enrolled
8,17.5875,7,17.125,174.7,8,18,178.0,8,Yes,Graduate
6,12.666666666666666,6,12.666666666666666,128.8,7,19,129.0,7,Yes,Graduate
5,12.0,6,12.666666666666666,110.1,10,19,116.0,8,Yes,Graduate
0,0.0,0,0.0,99.7,7,22,99.0,8,No,Enrolled
6,11.5,6,11.333333333333334,121.0,6,19,135.0,7,Yes,Graduate
8,12.33125,7,13.605,131.7,11,19,141.0,10,Yes,Graduate
5,10.8,5,12.0,119.1,9,19,132.0,10,Yes,Graduate
0,0.0,0,0.0,124.7,10,19,132.0,10,Yes,Dropout
3,11.666666666666666,5,11.2,117.2,12,20,113.0,8,Yes,Dropout
5,14.166666666666666,5,13.375,128.8,9,18,134.0,10,Yes,Graduate
7,14.178571428571429,6,13.863333333333337,131.5,9,20,136.0,8,Yes,Graduate
0,0.0,0,0.0,121.7,0,18,136.0,0,Yes,Enrolled
5,13.4,5,12.4,123.4,6,19,129.0,6,Yes,Graduate
5,10.833333333333334,3,12.333333333333334,124.7,10,18,138.0,11,Yes,Enrolled
5,11.8,6,13.333333333333334,132.8,8,18,137.0,7,Yes,Graduate
3,10.0,3,12.666666666666666,108.7,12,21,115.0,10,Yes,Dropout
4,11.5,6,12.0,138.1,10,19,129.0,8,Yes,Dropout
5,11.8,5,10.6,126.5,5,18,131.0,5,Yes,Graduate
6,11.857142857142858,6,12.25,127.4,7,18,133.0,8,Yes,Graduate
6,11.833333333333334,4,11.0,123.6,9,20,125.0,10,Yes,Graduate
5,12.6,5,11.0,122.0,9,24,120.0,11,Yes,Graduate
6,13.0,6,13.166666666666666,118.2,9,19,128.0,6,Yes,Dropout
7,12.761111111111113,7,12.855555555555554,123.9,12,18,127.0,9,Yes,Graduate
8,15.355,7,14.91875,125.8,8,18,134.0,8,Yes,Graduate
3,11.0,4,11.5,123.3,10,21,132.0,13,Yes,Dropout
5,14.2,5,14.2,124.4,5,19,124.0,5,Yes,Graduate
6,13.0,6,12.5,126.0,7,19,133.1,6,Yes,Graduate
0,0.0,0,0.0,170.0,0,47,170.0,1,Yes,Enrolled
4,11.0,5,11.666666666666666,121.5,12,19,125.0,10,Yes,Graduate
7,14.257142857142856,7,14.257142857142856,130.0,8,29,130.0,8,Yes,Graduate
2,11.333333333333334,3,12.0,117.0,12,21,125.0,13,Yes,Dropout
4,10.5,4,11.25,130.0,11,28,130.0,13,Yes,Enrolled
8,13.5625,7,12.457142857142856,108.0,8,20,133.1,8,Yes,Graduate
6,11.683333333333332,6,11.683333333333332,132.3,7,19,131.0,7,Yes,Graduate
5,12.0,3,11.666666666666666,148.0,8,26,150.0,10,Yes,Graduate
6,13.166666666666666,4,11.75,122.6,6,20,125.0,8,No,Dropout
4,13.5,3,11.666666666666666,123.0,6,18,131.0,6,Yes,Enrolled
5,12.0,5,13.2,102.5,10,27,130.0,9,Yes,Graduate
4,11.95,4,11.95,113.3,8,20,123.0,8,Yes,Dropout
5,10.4,5,12.4,133.0,12,18,141.0,8,Yes,Dropout
6,14.583333333333334,6,14.35,140.0,10,33,140.0,8,Yes,Dropout
19,12.789473684210526,21,12.61904761904762,128.3,19,35,140.0,21,Yes,Graduate
6,13.166666666666666,6,12.666666666666666,140.0,7,26,140.0,7,Yes,Enrolled
0,0.0,5,12.0,104.0,6,27,133.1,6,No,Dropout
0,0.0,6,12.166666666666666,122.3,6,19,131.0,6,No,Dropout
0,0.0,0,0.0,135.0,0,20,143.0,0,Yes,Dropout
3,10.571428571428571,3,10.0,119.1,9,20,132.0,9,No,Dropout
4,10.0,8,11.5,126.6,12,21,143.0,18,No,Enrolled
6,13.05,6,13.05,129.0,7,18,141.0,7,Yes,Graduate
0,0.0,2,11.0,162.3,6,24,133.1,10,Yes,Dropout
6,12.0,6,11.5,163.4,6,20,148.0,7,Yes,Graduate
6,12.5,6,12.0,121.5,6,21,125.0,7,Yes,Graduate
1,10.0,2,10.0,122.8,12,23,120.0,13,Yes,Enrolled
0,0.0,0,0.0,118.0,5,24,140.0,5,Yes,Dropout
0,0.0,0,0.0,134.0,0,21,139.0,0,Yes,Dropout
7,12.242857142857144,7,12.242857142857144,129.8,8,18,142.0,8,Yes,Graduate
0,0.0,0,0.0,152.0,0,27,130.0,0,Yes,Dropout
8,12.93375,8,12.93375,122.8,8,18,126.0,8,Yes,Graduate
0,0.0,0,0.0,150.0,0,35,150.0,0,Yes,Dropout
7,14.428571428571429,7,12.571428571428571,131.8,8,18,130.0,9,Yes,Graduate
3,11.333333333333334,3,11.816666666666668,105.9,3,35,120.0,4,Yes,Enrolled
4,14.333333333333334,4,13.75,132.1,13,19,138.0,9,Yes,Graduate
6,11.333333333333334,6,11.166666666666666,127.4,6,20,127.0,8,Yes,Graduate
7,12.324285714285711,7,12.324285714285711,129.5,8,18,140.0,8,Yes,Graduate
6,11.714285714285714,6,12.166666666666666,126.7,7,21,130.0,6,Yes,Graduate
4,11.25,5,11.142857142857142,116.5,11,18,128.0,11,Yes,Graduate
4,10.75,4,11.0,119.1,9,18,132.0,9,Yes,Graduate
7,12.914285714285713,7,12.914285714285713,126.5,8,18,149.0,8,Yes,Graduate
6,14.166666666666666,6,13.833333333333334,149.8,6,18,155.0,6,Yes,Graduate
5,13.4,6,13.857142857142858,115.1,9,19,120.0,8,Yes,Graduate
5,12.8,6,13.714285714285714,124.5,6,36,133.1,7,Yes,Dropout
7,12.642857142857142,7,12.642857142857142,128.3,8,18,131.0,8,Yes,Graduate
6,12.916666666666666,6,12.916666666666666,136.0,7,18,149.0,7,Yes,Graduate
6,15.857142857142858,6,15.625,140.0,8,20,140.0,8,Yes,Graduate
0,0.0,0,0.0,126.3,8,26,133.1,7,Yes,Dropout
6,12.0,6,11.714285714285714,126.9,7,21,122.0,8,Yes,Graduate
8,13.3125,6,12.125,145.0,9,25,130.0,10,Yes,Enrolled
5,11.6,5,11.6,115.8,5,19,121.0,7,Yes,Graduate
0,0.0,1,10.0,100.0,6,24,120.0,11,Yes,Dropout
0,0.0,1,10.0,102.5,13,27,133.1,16,Yes,Dropout
2,13.5,0,0.0,131.5,9,21,121.0,10,Yes,Dropout
3,12.333333333333334,4,13.0,147.0,8,18,133.0,7,Yes,Graduate
6,14.5,6,13.333333333333334,122.5,6,19,134.0,6,Yes,Graduate
2,12.5,4,11.25,117.5,13,18,115.0,9,Yes,Dropout
7,12.19285714285714,5,13.85,150.0,9,19,127.0,9,Yes,Graduate
7,14.9125,6,13.741666666666667,127.5,9,19,135.0,8,Yes,Graduate
5,15.8,6,15.333333333333334,140.0,5,33,140.0,7,Yes,Graduate
5,13.8,5,11.0,130.0,5,45,130.0,6,Yes,Graduate
6,12.857142857142858,6,12.0,133.3,7,20,135.0,6,Yes,Graduate
0,0.0,0,0.0,97.0,5,28,140.0,5,Yes,Dropout
7,11.571428571428571,7,11.571428571428571,112.0,15,19,120.0,15,Yes,Graduate
3,12.666666666666666,6,12.857142857142858,123.6,6,18,140.0,10,Yes,Graduate
0,0.0,0,0.0,130.5,0,38,133.1,0,Yes,Dropout
5,13.2,5,13.0,133.3,5,19,135.0,5,Yes,Graduate
5,12.0,5,11.0,132.1,8,21,123.0,9,Yes,Graduate
1,15.0,3,12.0,100.0,12,21,133.1,12,Yes,Dropout
6,13.0,5,12.6,140.4,6,22,154.0,6,Yes,Graduate
6,13.166666666666666,5,13.4,141.7,7,18,148.0,8,Yes,Graduate
6,11.571428571428571,6,11.333333333333334,119.7,9,18,133.0,9,Yes,Graduate
4,14.25,4,13.5,122.5,10,25,126.0,14,No,Dropout
3,10.333333333333334,3,11.75,140.0,14,24,133.1,11,No,Dropout
7,11.4625,6,12.471428571428572,119.4,8,19,125.0,10,Yes,Enrolled
9,13.555555555555555,11,12.909090909090908,155.0,15,24,145.0,19,Yes,Enrolled
5,13.6,5,11.6,119.1,5,20,118.0,5,Yes,Graduate
0,0.0,0,0.0,122.7,9,25,120.0,5,No,Dropout
10,12.363636363636363,9,12.9,117.9,12,20,127.0,13,Yes,Graduate
8,13.22,8,13.22,130.0,8,23,130.0,8,Yes,Graduate
7,13.151428571428571,7,13.151428571428571,120.0,8,19,129.0,8,Yes,Graduate
3,11.333333333333334,3,12.75,130.0,8,29,130.0,13,No,Dropout
4,12.25,6,11.333333333333334,116.8,8,21,121.0,8,Yes,Graduate
5,14.142857142857142,6,13.25,123.4,13,18,136.0,10,Yes,Graduate
5,12.4,5,12.4,125.4,6,19,125.0,7,Yes,Enrolled
6,12.833333333333334,6,15.0,127.2,6,18,131.0,6,Yes,Dropout
5,13.0,5,14.4,103.4,6,19,122.0,6,Yes,Graduate
0,0.0,1,11.0,123.2,12,18,127.0,12,Yes,Enrolled
5,10.8,5,12.4,124.1,6,18,136.0,8,Yes,Graduate
0,0.0,1,16.0,99.5,12,37,133.1,13,No,Dropout
5,12.333333333333334,5,13.571428571428571,124.9,14,29,127.0,10,Yes,Graduate
6,12.5,6,11.833333333333334,110.8,6,18,116.0,6,Yes,Enrolled
5,12.666666666666666,5,11.666666666666666,118.9,9,19,121.0,8,Yes,Graduate
2,13.0,6,11.833333333333334,118.8,8,22,124.0,16,No,Dropout
5,10.6,6,11.166666666666666,137.0,10,20,131.0,8,Yes,Graduate
0,0.0,0,0.0,100.0,0,34,100.0,0,Yes,Dropout
6,12.166666666666666,8,11.75,120.0,19,30,130.0,17,No,Dropout
6,14.0,6,14.0,122.8,7,18,135.0,7,Yes,Graduate
6,12.0,6,12.833333333333334,121.6,6,18,130.0,6,Yes,Graduate
3,11.666666666666666,4,12.25,149.2,10,18,146.0,11,Yes,Graduate
7,14.828571428571427,7,14.828571428571427,140.0,8,18,146.0,8,Yes,Graduate
5,12.8,5,11.4,133.4,8,19,154.0,7,Yes,Graduate
6,12.5,6,13.0,126.2,8,19,137.0,6,Yes,Graduate
7,13.671428571428573,7,13.671428571428573,127.8,8,18,151.0,8,Yes,Graduate
5,12.8,6,12.666666666666666,150.0,8,21,150.0,9,Yes,Graduate
1,13.0,2,10.0,113.7,12,20,121.0,10,No,Dropout
5,12.333333333333334,5,13.5,117.8,8,20,122.0,10,Yes,Graduate
8,13.55,7,12.67,136.7,8,19,143.0,8,Yes,Graduate
6,15.428571428571429,6,14.5,144.7,7,20,152.0,8,Yes,Graduate
8,15.3875,7,13.685714285714283,139.8,8,18,145.0,7,Yes,Graduate
3,10.666666666666666,5,11.0,113.7,10,20,120.0,8,Yes,Dropout
5,13.2,7,11.555555555555555,140.0,12,29,140.0,16,No,Dropout
8,13.775,7,13.79714285714286,142.3,8,18,143.0,7,Yes,Enrolled
7,13.812857142857142,7,14.00375,119.6,11,20,129.0,8,Yes,Graduate
4,11.4,4,12.0,123.7,8,22,139.0,8,Yes,Graduate
6,14.166666666666666,5,14.166666666666666,143.0,7,47,133.1,9,Yes,Graduate
5,13.8,5,14.0,100.1,5,31,127.0,5,Yes,Graduate
6,12.833333333333334,5,13.8,119.4,6,21,126.0,7,Yes,Graduate
6,11.857142857142858,5,12.8,122.1,10,21,128.0,8,Yes,Graduate
6,13.833333333333334,6,12.166666666666666,100.0,6,24,100.0,6,Yes,Graduate
6,12.333333333333334,6,12.5,113.9,6,18,123.0,8,Yes,Enrolled
4,11.5,4,12.0,101.0,12,32,170.0,9,Yes,Graduate
6,11.5,6,10.833333333333334,111.8,9,19,117.0,8,Yes,Graduate
8,13.385,8,13.385,140.0,8,24,140.0,8,Yes,Graduate
6,14.5,6,15.666666666666666,124.4,9,19,123.0,14,Yes,Graduate
6,13.833333333333334,6,14.333333333333334,150.0,7,19,150.0,9,Yes,Graduate
5,13.0,6,11.428571428571429,140.0,12,24,140.0,10,Yes,Enrolled
6,11.666666666666666,6,11.666666666666666,116.0,8,18,123.0,9,Yes,Graduate
2,11.333333333333334,5,12.0,135.6,10,19,130.0,9,Yes,Dropout
7,14.725714285714288,7,14.725714285714288,121.0,8,19,137.0,8,Yes,Graduate
6,13.666666666666666,6,14.166666666666666,118.7,6,18,126.0,6,Yes,Graduate
6,12.333333333333334,6,11.571428571428571,125.7,8,18,125.0,10,Yes,Graduate
8,13.1375,7,12.5,107.1,8,20,112.0,7,Yes,Graduate
8,12.86,8,12.86,125.5,10,18,141.0,10,Yes,Graduate
6,13.714285714285714,6,12.25,127.0,9,18,135.0,10,Yes,Graduate
5,12.2,4,12.0,113.5,5,21,117.0,7,Yes,Graduate
8,16.168888888888887,7,15.116666666666667,154.4,9,18,160.0,9,Yes,Graduate
4,10.25,2,12.5,122.0,6,18,136.0,6,No,Dropout
0,0.0,0,0.0,128.0,0,19,143.0,11,Yes,Dropout
4,11.0,4,11.0,115.5,9,19,119.0,8,Yes,Enrolled
4,14.6,6,11.875,117.2,11,18,120.0,8,Yes,Graduate
0,0.0,1,11.0,150.0,5,34,150.0,6,Yes,Dropout
5,13.2,5,15.2,155.3,6,19,142.0,5,Yes,Graduate
2,11.0,5,11.6,120.0,12,19,120.0,7,No,Dropout
6,15.142857142857142,6,14.833333333333334,116.1,7,26,160.0,6,Yes,Graduate
3,11.333333333333334,3,11.333333333333334,118.9,10,21,133.1,12,Yes,Dropout
5,11.8,5,11.2,127.3,5,18,142.0,5,Yes,Graduate
5,13.666666666666666,5,13.4,113.7,9,20,121.0,8,Yes,Graduate
0,0.0,2,10.5,118.5,5,25,135.0,12,Yes,Dropout
5,16.4,5,16.2,146.7,5,18,153.0,5,Yes,Graduate
8,14.88181818181818,7,14.542857142857144,124.3,11,18,140.0,7,Yes,Graduate
8,14.355555555555554,7,13.694285714285714,137.8,9,19,152.0,7,Yes,Graduate
6,11.857142857142858,6,11.285714285714286,130.2,10,18,120.0,8,Yes,Graduate
6,13.083333333333334,6,11.757142857142856,147.8,12,20,160.0,11,Yes,Enrolled
0,0.0,0,0.0,150.0,0,26,150.0,3,No,Dropout
7,13.058571428571428,7,13.058571428571428,100.0,8,19,100.0,8,Yes,Graduate
8,14.055555555555555,7,14.3,155.6,9,19,150.0,7,Yes,Graduate
8,12.0,5,11.8,117.4,14,19,124.0,15,Yes,Graduate
3,13.0,3,10.333333333333334,128.8,8,19,141.0,9,Yes,Enrolled
3,11.666666666666666,6,10.571428571428571,117.5,11,18,121.0,7,Yes,Graduate
6,13.333333333333334,6,13.333333333333334,120.4,7,19,134.0,7,Yes,Graduate
5,11.0,6,11.857142857142858,130.9,9,18,134.0,10,Yes,Graduate
5,11.4,5,12.6,125.0,8,18,132.0,9,Yes,Enrolled
5,11.6,5,14.0,136.8,7,18,135.0,11,Yes,Enrolled
6,12.666666666666666,5,12.0,121.6,9,18,123.0,12,Yes,Enrolled
0,0.0,0,0.0,151.0,5,26,151.0,6,Yes,Dropout
6,13.0,6,12.0,103.5,7,20,107.0,7,Yes,Graduate
6,11.666666666666666,6,12.666666666666666,119.4,6,19,126.0,6,Yes,Graduate
6,13.666666666666666,6,12.166666666666666,134.4,9,18,133.0,6,Yes,Graduate
6,14.666666666666666,6,13.333333333333334,143.0,6,19,140.0,6,Yes,Graduate
7,14.571428571428571,7,15.0,110.0,7,40,110.0,8,Yes,Graduate
8,13.39125,8,13.39125,132.5,8,18,141.0,8,Yes,Graduate
6,12.428571428571429,5,12.166666666666666,114.7,8,19,122.0,9,Yes,Graduate
4,12.5,4,11.25,166.9,6,18,156.0,9,Yes,Graduate
3,12.0,4,12.0,125.9,8,19,129.0,13,Yes,Enrolled
0,0.0,0,0.0,178.3,0,18,188.0,0,Yes,Dropout
6,12.857142857142858,6,12.833333333333334,117.0,8,33,120.0,7,Yes,Graduate
6,13.1,6,14.0,150.0,11,35,130.0,10,Yes,Graduate
2,12.0,4,13.0,130.0,7,26,130.0,5,Yes,Enrolled
6,12.5,6,13.5,135.1,8,18,140.0,7,Yes,Graduate
9,12.307692307692308,13,10.692307692307692,110.0,19,36,110.0,24,Yes,Enrolled
5,11.666666666666666,5,11.0,136.2,9,39,133.1,6,Yes,Graduate
6,13.833333333333334,6,13.0,116.0,6,44,120.0,8,Yes,Graduate
4,11.25,5,12.0,100.0,9,20,96.0,10,Yes,Enrolled
4,11.5,4,12.6,116.3,6,24,117.0,9,Yes,Dropout
6,13.333333333333334,6,13.666666666666666,134.0,6,20,123.0,6,Yes,Graduate
0,0.0,0,0.0,124.2,0,19,127.0,0,No,Dropout
6,14.2,6,14.2,134.5,7,18,151.0,7,Yes,Graduate
0,0.0,5,11.0,120.7,12,22,127.0,10,No,Dropout
6,16.428571428571427,6,15.0,127.1,7,18,133.0,7,Yes,Graduate
7,13.44285714285714,6,12.585714285714284,133.0,9,24,133.1,9,Yes,Graduate
0,0.0,0,0.0,128.2,0,33,133.1,0,Yes,Dropout
0,0.0,0,0.0,130.0,6,30,133.1,6,Yes,Enrolled
0,0.0,0,0.0,172.0,0,26,160.0,0,Yes,Dropout
